id,timestamp,ticker,avg_sentiment,bullish_count,bearish_count,total_posts
1,2026-08-16 13:29:18,NVDA,0.16196666666666668,15,6,30
2,2026-08-16 13:29:19,TSLA,0.11141333333333334,10,7,30
3,2026-08-16 13:29:19,AAPL,0.0036333333333333274,12,10,30
4,2026-08-16 13:29:19,PLTR,0.2425766666666667,15,5,30
5,2026-08-16 13:29:20,QQQ,-0.041716666666666666,7,10,30
6,2026-08-16 13:29:20,SPY,-0.05750666666666667,7,7,30
7,2026-08-16 13:44:37,NVDA,0.1448266666666667,14,6,30
8,2026-08-16 13:44:37,TSLA,0.10200000000000001,10,8,30
9,2026-08-16 13:44:38,AAPL,0.0036333333333333274,12,10,30
10,2026-08-16 13:44:38,PLTR,0.2640966666666667,15,6,30
11,2026-08-16 13:44:39,QQQ,-0.030320000000000003,9,11,30
12,2026-08-16 13:44:39,SPY,0.01016,9,8,30
